Number of Boat in list,Year,Model,Area Code,Phone Number,Price
768,1995,1995 Folkes Cutter,866,866 656-139,"$60,000        "
769,1976,1976 Morgan Out Island 41,561,561 845-060,"$59,900        "
770,1981,1981 Morgan 41,941,941 914-921,"$59,900        "
771,1984,1984 Cheoy Lee Pedrick 41,941,941 914-921,"$59,000        "
772,1977,1977 Formosa 4-108,888,888 281-430,"$58,200        "
773,1977,1977 Morgan 41,855,855 249-276,"$54,990        "
774,1980,1980 Cooper 416 Pilothouse 41,866,866 513-857,"$54,900        "
775,1983,1983 Morgan OI 41,800,800 537-005,"$49,900        "
776,1983,1983 Nelson Marek N/M 41,877,877 273-039,"$49,900        "
777,1973,1973 Morgan 416 Out Island,941,941 914-921,"$48,000        "
778,1967,1967 Angelman Ketch,877,877 564-970,"$48,000        "
779,1973,1973 Morgan Boats 41 Out Island,877,877 351-037,"$44,900        "
780,1973,1973 Gulfstar Center Cockpit Ketch,866,866 220-931,"$44,800        "
781,1971,1971 Morgan OutIsland,850,850 865-096,"$44,000        "
782,1972,1972 Morgan 41,941,941 914-921,"$41,200        "
783,1973,1973 Columbia 41 Center Cockpit Sloop,941,941 914-921,"$40,000        "
784,1970,1970 Ericson Yachts 41,941,941 914-921,"$39,000        "
785,1984,1984 Sigma 41,888,8889YACHTS,"$39,000        "
786,1974,1974 Gulfstar 41 Centercockpit,866,866 263-993,"$35,000        "
787,1985,1985 Yorktown 41,941,941 914-921,"$34,999        "
788,1972,1972 CT Yachts 41 Pilot House,941,941 914-921,"$30,000        "
789,1977,1977 Morgan 41 Out Island,866,866 271-361,"$29,995        "
790,1971,1971 Newport 41,866,866 513-857,"$29,000        "
791,1976,1976 Formosa 41 Ketch,941,941 914-921,"$28,900        "
792,1974,1974 Coronado 41,941,941 914-921,"$22,500        "
793,1972,1972 Morgan Out Island Ketch,252,252 444-180,"$12,900        "
794,2008,2008 Admiral 40 Executive Catamaran (KBH),877,877 430-803,"$438,900       "
795,2010,2010 Lagoon 400,877,877 564-499,"$432,000       "
796,2011,2011 Lagoon 400,888,888 457-229,"$430,000       "
797,2010,2010 Lagoon 400,954,954 763-397,"$399,000       "
798,2008,2008 Admiral Owner's Version,877,877 393-260,"$362,000       "
799,2009,2009 Pacific Seacraft 40,888,888 281-430,"$349,900       "
800,1961,1961 American Marine Staysail Ketch,877,877 502-133,"$349,000       "
801,2014,2014 Jeanneau 409,877,877 564-499,"$299,000       "
802,2015,2015 Hunter 40,888,888 452-892,"$284,500       "
803,2012,2012 Jeanneau 409,800,800 537-005,"$249,000       "
804,2004,2004 Caliber 40LRC,727,727 460-568,"$245,000       "
805,1998,1998 Manta 40 Sail Catamaran,888,888 341-072,"$239,900       "
806,2008,2008 Ocean Warrior Sail,888,888 891-856,"$202,000       "
807,2005,2005 Catalina 400 MkII,888,888 676-442,"$196,500       "
808,2006,2006 Saga 409,866,866 263-993,"$195,000       "
809,2009,2009 Beneteau Oceanis 40,888,888 457-229,"$194,500       "
810,2008,2008 Beneteau 40,888,888 457-229,"$189,900       "
811,2008,2008 Beneteau 40,866,866 491-037,"$189,500       "
812,2004,2004 Catalina 400 MkII,877,877 780-526,"$189,000       "
813,2008,2008 Beneteau 40,888,888 457-229,"$176,900       "
814,1999,1999 Caliber 40 LRC,888,888 221-278,"$169,000       "
815,1999,1999 J Boats J/120,949,949 791-422,"$169,000       "
816,2003,2003 Catalina 400 MkII,888,888 457-229,"$164,900       "
817,2003,2003 Jeanneau SUN ODYSSEY 40 DECK SALON,585,585 339-973,"$159,900       "
818,2008,2008 Elan Boats 410,359,35905544550,"$159,446       "
819,1985,1985 Jonmeri Jonmeri 40,860,860 536-777,"$155,000       "
820,2001,2001 C & C 40 Racer Cruiser 121,941,941 914-921,"$145,000       "
821,1999,1999 C&C 121 Blue Hull,866,866 202-668,"$139,000       "
822,1997,1997 Freedom Yachts 40/40,855,855 257-705,"$139,000       "
823,1983,1983 Ta Shing Baba 40,941,941 914-921,"$138,900       "
824,1983,1983 Jonmeri 40,860,860 536-777,"$135,000       "
825,1983,1983 Cape Dory Intrepid,954,954 763-397,"$128,000       "
826,2005,2005 Jeanneau Sun Odyssey 40.3,888,888 457-229,"$127,000       "
827,1993,1993 Norseman Norseman 400,954,954 763-397,"$125,000       "
828,1985,1985 Lyman Morse Seguin,888,888 352-901,"$125,000       "
829,1996,1996 Catalina 400,888,888 669-845,"$124,900       "
830,1997,1997 Beneteau Oceanis CC,877,877 564-055,"$119,000       "
831,1995,1995 Beneteau 40 CC,888,888 457-229,"$119,000       "
832,1977,1977 Willard 40 Pilothouse Motorsailer,120,12062820110,"$115,000       "
833,1997,1997 Beneteau Oceanis 400,954,954 763-397,"$114,985       "
834,1996,1996 Sea Ray 400 Express Cruiser,888,888 452-892,"$109,900       "
835,1983,1983 Bayfield Cutter Ketch,866,866 220-931,"$109,000       "
836,1995,1995 Beneteau Oceanis 400,941,941 914-921,"$105,000       "
837,1995,1995 Beneteau 400,941,941 914-921,"$100,000       "
838,1996,1996 Hunter 40.5,888,888 676-442,"$99,000        "
839,1996,1996 Hunter 40.5,800,800 537-005,"$99,000        "
840,1996,1996 Hunter 40.5 Legend,877,877 564-499,"$98,000        "
841,1956,1956 Custom 3HM35,860,860 536-777,"$98,000        "
842,1978,1978 CAMPER & NICHOLSON Pilothouse,888,888 281-430,"$94,500        "
843,1979,1979 Schucker 436 Motorsailer,352,352 362-857,"$90,000        "
844,1993,1993 Beneteau Oceanis 40,419,419 304-440,"$89,900        "
845,2003,2003 John Simpson Design 40 steel pilothouse cutter,888,888 221-278,"$89,900        "
846,1995,1995 Catalina 400 MkII,888,888 678-765,"$89,800        "
847,1997,1997 Beneteau 400,888,888 809-008,"$89,000        "
848,1992,1992 Canadian Sailcraft CS 40,888,888 457-229,"$84,500        "
849,1978,1978 Schucker 440,866,866 220-931,"$82,000        "
850,1969,1969 Bill Garden Mariner Ketch,888,888 573-425,"$80,000        "
851,1965,1965 CAL 3JH4E,888,888 596-426,"$79,900        "
852,1978,1978 Valiant Cutter,877,877 502-133,"$79,900        "
853,1989,1989 Hunter 40 Legend,877,877 533-659,"$75,500        "
854,1983,1983 Endeavour 40 Center Cockpit - new eng,877,877 899-220,"$74,995        "
855,1959,1959 WM Weatherhead 400 Canoe Stern Trawler,941,941 914-921,"$74,950        "
856,1982,1982 Hughes Columbia Center Cockpit,866,866 220-931,"$74,000        "
857,2000,2000 Bavaria 38,349,34952810066,"$72,399        "
858,1994,1994 Hunter 40.5 Legend,949,949 791-422,"$69,777        "
859,1983,1983 Endeavour Sloop,866,866 292-809,"$69,000        "
860,1974,1974 Paul Luke  Aluminum Sloop 40,941,941 914-921,"$66,700        "
861,1983,1983 Olson 40,866,866 513-857,"$65,000        "
862,1984,1984 Hunter Legend,866,866 563-969,"$64,900        "
863,1994,1994 Beneteau 405M,888,888 669-845,"$64,500        "
864,1992,1992 Tripp 40 Sloop,866,866 477-588,"$62,900        "
865,1988,1988 Hunter Legend 40,866,866 513-857,"$62,000        "
866,1978,1978 Endeavour 37,941,941 914-921,"$55,500        "
867,1986,1986 Custom Cutter,561,561 301-032,"$55,000        "
868,1980,1980 Passport 40,866,866 271-361,"$55,000        "
869,1987,1987 Beneteau First Class 12,941,941 914-921,"$53,500        "
870,1987,1987 O'Day 40,888,888 457-229,"$52,000        "
871,1984,1984 Hunter 40,888,888 457-229,"$50,000        "
872,1984,1984 Jeanneau Sun Fizz,888,888 352-901,"$50,000        "
873,1979,1979 Pearson 4JH5E,888,888 596-426,"$49,995        "
874,1978,1978 C&C 40,877,877 273-039,"$49,900        "
875,1986,1986 Hunter 40,888,888 452-892,"$49,900        "
876,1981,1981 Bristol Yachts Sloop,888,888 573-425,"$49,500        "
877,1983,1983 Olson 40,866,866 513-857,"$49,500        "
878,1980,1980 C & C Tall Rig,866,866 769-908,"$48,500        "
879,1986,1986 O'Day 40,252,252 444-180,"$48,500        "
880,1984,1984 Schock 41 GP,877,877 564-174,"$46,900        "
881,1982,1982 Gulfstar Center Cockpit,888,888 573-425,"$45,900        "
882,1974,1974 Cheoy Lee 40 ketch,239,239 352-555,"$45,000        "
883,1979,1979 Islander 40 Sailboat Peterson,877,877 564-970,"$45,000        "
884,1985,1985 Hunter Marine 40,888,888 488-755,"$44,900        "
885,1980,1980 Southern 40 Aft Cockpit,941,941 914-921,"$43,400        "
886,1980,1980 C&C 40,855,855 257-705,"$40,000        "
887,2011,2011 William Garden 40 Custom Ketch Deep Keel,941,941 914-921,"$40,000        "
888,1955,1955 Holland Steel Cutter,252,252 444-180,"$39,900        "
889,1973,1973 Bristol Yawl,866,866 220-931,"$39,900        "
890,1979,1979 Tradewinds Performance Sloop,562,562 437-750,"$39,500        "
891,1981,1981 Yorktown 38,941,941 914-921,"$33,300        "
892,1969,1969 Cal 40 Cruiser,360,360 697-848,"$32,750        "
893,1933,1933 Alden 430b,760,760 221-850,"$30,000        "
894,1957,1957 Newporter Ketch,855,855 257-705,"$29,900        "
895,1984,1984 Irwin 40 Mk II,866,866 202-668,"$29,900        "
896,1972,1972 Islander Yachts 40 Ketch Motorsailer,941,941 914-921,"$29,500        "
897,1976,1976 Bristol 40 Cutter,888,888 573-425,"$29,500        "
898,1983,1983 Islander P 40,888,888 880-797,"$29,000        "
899,1978,1978 Holland 40,954,954 763-397,"$27,000        "
900,1985,1985 Hunter Legend 40,855,855 241-056,"$26,900        "
901,1979,1979 Hughes Lehman,888,888 880-797,"$25,000        "
902,1988,1988 Bruce Roberts 40,941,941 914-921,"$24,500        "
903,2007,2007 Jeanneau 39i,510,510 521-132,"$187,500       "
904,1994,1994 Prout Escale,888,888 573-425,"$175,000       "
905,2008,2008 Beneteau 393,888,888 365-848,"$169,000       "
906,2007,2007 Jeanneau 39 DS,440,440 315-945,"$169,000       "
907,2005,2005 Hunter 41DS,888,888 311-041,"$165,500       "
908,1955,1955 Concordia Yawl,877,877 564-970,"$155,000       "
909,2004,2004 Etap 39s,310,310 821-588,"$139,000       "
910,1983,1983 Ta Shing Yachts Baba 40,941,941 914-921,"$138,000       "
911,1990,1990 Fountaine Pajot FIDJI 39,619,619 319-013,"$135,000       "
912,2009,2009 Beneteau Oceanis 40,305,305 942-624,"$132,500       "
913,1984,1984 AMEL Sharki Ketch 39,877,877 899-220,"$129,995       "
914,2004,2004 Beneteau 393,954,954 763-397,"$129,900       "
915,2005,2005 Beneteau 393 w Settee Mainsalon Option,888,888 457-229,"$129,000       "
916,2002,2002 Beneteau USA 393,866,866 202-668,"$124,900       "
917,2003,2003 Beneteau 393,866,866 220-931,"$114,900       "
918,1999,1999 Feeling Cruising Sailboat,888,888 573-425,"$114,000       "
919,2004,2004 Beneteau 393,866,866 930-978,"$112,900       "
920,2002,2002 Beneteau 393,877,877 564-499,"$110,500       "
921,2009,2009 Jeanneau Sun Odyssey  39i,954,954 763-397,"$109,000       "
922,1988,1988 Gatsby Pilot House 39,954,954 763-397,"$99,900        "
923,2002,2002 Beneteau 393,888,888 457-229,"$99,900        "
924,1981,1981 Gulfstar 39 Sailmaster,866,866 220-931,"$99,000        "
925,2005,2005 Beneteau 393,877,877 564-499,"$97,000        "
926,2002,2002 Beneteau 393,888,888 365-848,"$94,900        "
927,1988,1988 CAL 39,888,888 676-442,"$94,000        "
928,1989,1989 Grand Soleil 39 Tall Rig,866,866 220-931,"$80,000        "
929,2002,2002 Beneteau Oceanis 393,877,877 564-499,"$74,599        "
930,1984,1984 Freedom 39 Express,866,866 476-577,"$74,000        "
931,1988,1988 CORBIN Pilothouse Cutter,888,888 352-901,"$74,000        "
932,1979,1979 CORBIN 39,941,941 914-921,"$70,000        "
933,1981,1981 Gulfstar 39 Sailmaster,866,866 263-993,"$64,000        "
934,1992,1992 Beneteau Oceanis 390,888,888 281-430,"$59,900        "
935,1989,1989 Pearson 39.2,855,855 241-042,"$59,900        "
936,1978,1978 CAL 39,866,866 513-857,"$59,900        "
937,1983,1983 C & C 40,941,941 914-921,"$55,600        "
938,1983,1983 Jeanneau-O'Day 3 stateroom sloop,877,877 502-133,"$55,000        "
939,1977,1977 Landfall pilothouse cutter,360,360 697-848,"$54,000        "
940,1984,1984 O'Day Sloop,866,866 728-560,"$44,995        "
941,1983,1983 O'Day 39,877,877 588-656,"$39,900        "
942,1984,1984 Beneteau Racer/Cruiser,888,888 880-797,"$39,000        "
943,1975,1975 Pearson 39 Yawl,941,941 914-921,"$34,400        "
944,1985,1985 Freedom Yachts 39,941,941 914-921,"$30,200        "
945,1973,1973 Columbia ,888,888 880-797,"$29,000        "
946,1972,1972 C & C 39,866,866 249-426,"$28,500        "
947,1973,1973 C & C 39,941,941 914-921,"$27,800        "
948,1931,1931 W J Schertzer 39 Wooden Custom Cutter,941,941 914-921,"$27,800        "
949,1976,1976 Yorktown 39,941,941 914-921,"$26,700        "
950,1972,1972 Ericson 39,866,866 476-577,"$24,900        "
951,1983,1983 Bruce Roberts 39,941,941 914-921,"$18,900        "
952,2005,2005 Seawind 1160,619,619 319-013,"$389,000       "
953,2009,2009 Seawind 1160,619,619 319-013,"$375,000       "
954,2007,2007 Sabre 386,888,888 457-229,"$269,900       "
955,2006,2006 Lagoon 380 S2,619,619 319-013,"$265,000       "
956,2007,2007 Lagoon 380 Owners Version S2,954,954 763-397,"$255,000       "
957,2001,2001 Leopard 38,619,619 319-013,"$229,000       "
958,2006,2006 Lagoon 380 S2,310,310 821-588,"$220,000       "
959,1997,1997 Nauticat 38 Ketch,877,877 393-260,"$209,900       "
960,2007,2007 VanDam VanDam Custom 38,231,231 526-622,"$198,000       "
961,2002,"2002 Bootsbeau Vilm , Nauticat, Fisher 116 Motorsailer Pilothouse",888,888 573-425,"$197,500       "
962,2007,2007 Catamaran Lagoon 380 S2 (JFR),877,877 430-803,"$190,766       "
963,1983,1983 Baltic 38,888,888 429-060,"$169,000       "
964,1983,1983 Baltic DP,877,877 780-526,"$169,000       "
965,2001,2001 Aerodyne 38,877,877 564-970,"$149,900       "
966,2008,2008 Hunter 38,310,310 821-588,"$149,900       "
967,1987,1987 Baltic 38 DP,866,866 513-857,"$149,000       "
968,2006,2006 38 HUNTER AFT CABIN 38,855,855 257-705,"$141,000       "
969,1999,1999 Catalina 381CC Morgan,941,941 914-921,"$139,900       "
970,2006,2006 Hunter 2 Cabin,877,877 502-133,"$139,900       "
971,2007,2007 Hunter H38 Commisioned NEW Spring 2011,813,813 263-780,"$139,500       "
972,2006,2006 Hunter 38,866,866 930-978,"$137,900       "
973,2008,2008 Hunter 38,888,888 363-495,"$135,000       "
974,2006,2006 Hunter 38,201,201 985-809,"$135,000       "
975,2001,2001 Grand Soleil 37,866,866 659-866,"$134,000       "
976,2008,2008 Hunter Sloop - Shoal Draft,855,855 822-828,"$133,500       "
977,2005,2005 Hunter 38,877,877 657-244,"$125,500       "
978,1986,1986 Hans Christian 38 TRADITIONAL TELSTAR CUTTER,877,877 780-526,"$125,000       "
979,2007,2007 Kit Cat 38,866,866 220-931,"$119,000       "
980,1969,1969 Ohlson 38,860,860 536-777,"$115,000       "
981,1990,1990 Cabo Rico ,843,843 576-235,"$115,000       "
982,1988,1988 Cabo Rico 38 Cutter--R E F I T 2013,888,888 573-425,"$113,000       "
983,1989,1989 Island Packet 38,843,843 576-235,"$111,000       "
984,2000,2000 Beneteau Oceanis,877,877 564-499,"$110,500       "
985,2001,2001 Beneteau 381,888,888 457-229,"$110,000       "
986,1997,1997 Catalina 4204,888,888 596-426,"$109,800       "
987,2001,2001 Catalina 380,888,888 676-442,"$105,000       "
988,2009,2009 Bavaria 38 (JFR),877,877 430-803,"$104,779       "
989,1978,1978 Hodgdon Bros. Stadel Gaff Topsail Schooner,206,206 686-540,"$103,000       "
990,1987,1987 Island Packet 38 Cutter,888,888 221-278,"$99,990        "
991,2004,2004 Hunter 386 shoal draft,866,866 220-931,"$99,900        "
992,1991,1991 Ericson 200 Built by Pacific SeaCraft,866,866 728-560,"$99,495        "
993,1998,1998 Catalina 380,888,888 457-229,"$98,000        "
994,1997,1997 Catalina 380,941,941 914-921,"$97,500        "
995,1999,1999 Dufour classic,888,888 891-856,"$95,000        "
996,1983,1983 Bristol 38.8,888,888 457-229,"$94,900        "
997,1983,1983 Baltic 38DP,866,866 476-577,"$93,000        "
998,1983,1983 Sweden Yachts 3000,860,860 536-777,"$92,500        "
999,2000,2000 Hunter (Freshwater) 380,888,8889YACHTS,"$89,400        "
1000,2000,2000 Beneteau 38,954,954 763-397,"$89,000        "
1001,2000,2000 Hunter 380,954,954 763-397,"$89,000        "
1002,1997,1997 Catalina 380,727,727 214-159,"$88,500        "
1003,1997,1997 Catalina 380 Cruiser,888,888 341-072,"$88,000        "
1004,1991,1991 Pearson 38,866,866 202-668,"$88,000        "
1005,1985,1985 Hans Christian 38 Tel Star,888,888 352-901,"$86,900        "
1006,1976,1976 Alajuela 38,949,949 791-422,"$85,777        "
1007,1982,1982 Hood Wauquiez 38 C/B Sloop,866,866 342-183,"$84,900        "
1008,1997,1997 Beneteau 381,727,727 214-159,"$81,000        "
1009,1991,1991 Freedom Yachts Freedom 38,231,231 526-622,"$79,000        "
1010,1979,1979 Shannon Cutter,888,888 573-425,"$79,000        "
1011,1982,1982 Krogen fixed keel,855,855 249-276,"$79,000        "
1012,1996,1996 X-Yachts IMX 38,877,877 780-526,"$79,000        "
1013,1981,1981 Durbeck Cutter,866,866 220-931,"$75,000        "
1014,1978,1978 CT Cruising Cutter,877,877 502-133,"$75,000        "
1015,1969,1969 Hinckley H-38,866,866 263-993,"$74,900        "
1016,1978,1978 Downeaster Ketch,888,888 352-901,"$74,000        "
1017,2000,2000 Hunter 380,866,866 202-668,"$74,000        "
1018,1986,1986 Beneteau First 375,888,888 352-901,"$72,500        "
1019,1980,1980 Cheoy Lee Sloop-REPOWERED with 50 HOURS,888,888 573-425,"$69,900        "
1020,1994,1994 Hunter 37.5,866,866 202-668,"$69,900        "
1021,1986,1986 C&C 38 MK-III,360,360 697-848,"$69,500        "
1022,1986,1986 Irwin 38 Mk II,888,888 522-279,"$69,500        "
1023,1990,1990 Chiappini Schooner,866,866 220-931,"$69,500        "
1024,1975,1975 Down East DE38,941,941 914-921,"$69,500        "
1025,1984,1984 Herreshoff 38 Cat Ketch,888,888 669-845,"$69,500        "
1026,1983,1983 Morgan 384,888,888 596-426,"$67,900        "
1027,1982,1982 Ericson 38,866,866 202-668,"$67,000        "
1028,1989,1989 Waterline 38,120,12062820110,"$66,000        "
1029,1986,1986 Kady Krogen Cutter,866,866 220-931,"$64,900        "
1030,1985,1985 Sabre 38,888,888 457-229,"$64,500        "
1031,1986,1986 Pan Oceanic 38,888,888 669-845,"$64,000        "
1032,1979,1979 Downeaster Cutter,888,888 352-901,"$63,500        "
1033,1991,1991 Beneteau First 38s5,888,888 457-229,"$62,500        "
1034,1978,1978 Down East 38 Cutter,941,941 914-921,"$61,100        "
1035,1985,1985 Beneteau IDYLLE-11.50,866,866 220-931,"$59,500        "
1036,1988,1988 Irwin MK II Sloop,561,561 844-410,"$59,000        "
1037,1983,1983 Islander Freeport,888,888 352-901,"$57,900        "
1038,1985,1985 Irwin Center Cockpit,888,888 221-278,"$56,000        "
1039,1989,1989 Ericson 38,888,888 452-892,"$56,000        "
1040,1985,1985 Hood 38,860,860 536-777,"$55,000        "
1041,1977,1977 DownEast Cutter,877,877 780-526,"$50,000        "
1042,1986,1986 C&C 38 Mark III,866,866 728-560,"$49,995        "
1043,1984,1984 Ericson 381,866,866 477-588,"$49,900        "
1044,1985,1985 Wauquiez Hood Mk II,888,888 352-901,"$49,900        "
1045,1985,1985 Irwin Center Cockpit,888,888 221-278,"$49,900        "
1046,1986,1986 Catalina 38,866,866 659-866,"$49,900        "
1047,1983,1983 Morgan 384,888,888 677-635,"$49,900        "
1048,1984,1984 C & C 38 Landfall,252,252 444-180,"$46,000        "
1049,1979,1979 Cheoy Lee Offshore,877,877 780-526,"$45,900        "
1050,1930,1930 CASEY FAIRHAVEN Ketch,866,866 659-866,"$44,900        "
1051,1984,1984 Catalina 38 Sparkman Stevens,877,877 533-659,"$42,900        "
1052,1986,1986 C & C Mark III,888,888 889-424,"$39,900        "
1053,1979,1979 Morgan 382,941,941 914-921,"$39,900        "
1054,1977,1977 C&C Canadian Built Sloop,888,888 319-465,"$38,900        "
1055,1988,1988 Homemade 38,941,941 914-921,"$38,900        "
1056,1982,1982 Catalina 38 S&S,360,360 697-848,"$38,500        "
1057,1979,1979 Morgan 382 Newish Yanmar,888,888 457-229,"$37,500        "
1058,1981,1981 C&C 38 Landfall,888,888 203-810,"$37,500        "
1059,1978,1978 C & C 3QM,888,888 596-426,"$35,900        "
1060,1978,1978 Morgan 382,941,941 914-921,"$35,600        "
1061,1984,1984 Catalina 38 S&S,866,866 513-857,"$34,900        "
1062,1981,1981 Catalina C-38 Shoal,941,941 914-921,"$32,200        "
1063,1982,1982 Catalina 38,800,800 537-005,"$32,000        "
1064,1979,1979 C & C Landfall 38,941,941 914-921,"$31,000        "
1065,1977,1977 C&C 38 Mk II,888,888 457-229,"$29,000        "
1066,1981,1981 C&C Yachts Landfall,920,920 559-764,"$28,900        "
1067,1986,1986 Nauticat Sea-Cat 37,843,843 422-877,"$27,500        "
1068,1976,1976 Heritage 38 West Indies,941,941 914-921,"$27,500        "
1069,1956,1956 Kettenburg K38,941,941 914-921,"$25,000        "
1070,1979,1979 Morgan 382,252,252 444-180,"$22,500        "
1071,1976,1976 Heritage West Indies 38,941,941 914-921,"$22,500        "
1072,1978,1978 Morgan 382,941,941 914-921,"$20,000        "
1073,1980,1980 CUSTOM BUILT 38,941,941 914-921,"$20,000        "
1074,1949,1949 Kettenburg ,888,888 596-426,"$19,000        "
1075,1977,1977 C&C Sloop,508,508 478-020,"$12,000        "
1076,1975,1975 Seafarer KETCH,866,866 535-587,"$9,000         "
1077,1983,1983 C&C Fiberglass Landfall Monohull,508,508 478-020,"$7,000         "
1078,2005,2005 Island Packet 370,866,866 202-668,"$252,000       "
1079,2013,2013 Jeanneau 379 Swing Keel 3'7,877,877 564-499,"$243,000       "
1080,2008,2008 Corsair 37,619,619 319-013,"$229,000       "
1081,2005,2005 Island Packet 370,727,727 592-891,"$199,900       "
1082,2001,2001 Tartan 3700,877,877 273-039,"$189,900       "
1083,2001,2001 Tartan 3700,954,954 763-397,"$179,000       "
1084,2000,2000 Tartan 3700,855,855 420-326,"$179,000       "
1085,2012,2012 Beneteau Oceanis 37,877,877 564-499,"$177,499       "
1086,2012,2012 Delphia 37.2,866,866 202-668,"$165,000       "
1087,2010,2010 Beneteau 37,888,888 365-848,"$159,000       "
1088,2000,2000 Tartan 3700,855,855 257-705,"$158,000       "
1089,2001,2001 Tartan 3700,727,727 592-891,"$154,400       "
1090,2003,2003 Lady Hawke Cabio,855,855 822-828,"$150,000       "
1091,2001,2001 Hunter 380,877,877 634-652,"$149,900       "
1092,2006,2006 Beneteau 373,888,888 457-229,"$139,900       "
1093,2009,2009 Beneteau 37,888,888 457-229,"$139,900       "
1094,1988,1988 Banshee B10 Express Catamaran,866,866 513-857,"$139,500       "
1095,2004,2004 Beneteau 373,888,888 457-229,"$130,000       "
1096,2006,2006 Beneteau 373,888,888 365-848,"$129,900       "
1097,2006,2006 Beneteau 373,888,888 457-229,"$127,500       "
1098,2005,2005 Beneteau 373,510,510 521-132,"$119,500       "
1099,2007,2007 Beneteau USA 373,888,888 676-442,"$119,000       "
1100,1992,1992 Pacific Seacraft Crealock 37,877,877 470-353,"$115,000       "
1101,2009,2009 Beneteau Oceanis 390,877,877 634-652,"$99,000        "
1102,2001,2001 Jeanneau 37,310,310 821-588,"$93,500        "
1103,2003,2003 Dufour Gib Sea,888,888 452-892,"$89,900        "
1104,1980,1980 Nautor Swan 371,877,877 502-133,"$89,900        "
1105,1998,1998 Hunter 376,877,877 273-039,"$89,500        "
1106,2004,2004 Hunter 386,866,866 959-799,"$87,900        "
1107,1977,1977 Rafiki 37 Cutter,941,941 914-921,"$87,500        "
1108,1997,1997 Hunter 376,888,888 457-229,"$85,000        "
1109,1983,1983 Dickerson 37 CC,866,866 342-183,"$84,900        "
1110,1979,1979 Valiant Esprit 37,888,888 352-901,"$84,500        "
1111,1998,1998 Hunter 376,866,866 292-809,"$83,900        "
1112,2002,2002 Jeanneau 37 Sun Odyssey,941,941 914-921,"$83,000        "
1113,1996,1996 Hunter 376,888,888 363-495,"$79,900        "
1114,1997,1997 Hunter 376,727,727 460-568,"$79,500        "
1115,1981,1981 Tartan 37 Offshore Cruiser,941,941 914-921,"$78,000        "
1116,1978,1978 Fairways Marine Fisher Motorsailer,877,877 564-794,"$77,000        "
1117,2001,2001 Bavaria Yachts 37 Cruiser,866,866 271-195,"$76,000        "
1118,1980,1980 CSY 37,941,941 914-921,"$75,600        "
1119,2003,2003 Jeanneau Sun Odyssey,800,800 633-717,"$74,950        "
1120,2003,2003 Jeanneau 37,888,888 363-495,"$74,900        "
1121,1997,1997 Hunter 376,888,888 363-495,"$72,000        "
1122,1997,1997 Hunter 376,888,888 363-495,"$70,000        "
1123,1990,1990 C & C 37/40 Wing Keel (Model 37R),727,727 460-568,"$69,900        "
1124,1982,1982 Pacific Seacraft 37,866,866 342-183,"$69,900        "
1125,1979,1979 Tayana 37,888,888 474-702,"$69,000        "
1126,1990,1990 Hunter Legend 37.5,503,503 289-630,"$67,000        "
1127,1994,1994 Hunter Legend 37.5,888,888 363-495,"$66,900        "
1128,1984,1984 C & C 37,941,941 914-921,"$66,700        "
1129,1982,1982 Tartan 37 sloop,866,866 202-668,"$65,500        "
1130,1982,1982 Tartan 37' KCB Sloop,866,866 220-931,"$65,000        "
1131,1984,1984 Tartan 37,888,888 457-229,"$65,000        "
1132,1996,1996 Hunter 37.5,866,866 220-931,"$64,500        "
1133,1985,1985 Tartan 37,866,866 728-560,"$59,995        "
1134,1986,1986 Tayana 37 Mark II Cutter,888,888 227-665,"$59,900        "
1135,1979,1979 Tartan 37 Center Board Sloop,888,888 607-713,"$59,900        "
1136,1989,1989 Hunter Legend 37,866,866 263-993,"$59,900        "
1137,1979,1979 Tayana Staysail Ketch,877,877 502-133,"$59,500        "
1138,1996,1996 Hunter 376,888,888 363-495,"$59,000        "
1139,1982,1982 Tayana t37 Cutter,888,888 573-425,"$59,000        "
1140,1994,1994 Hunter Legend 375,941,941 914-921,"$57,000        "
1141,1978,1978 Tartan 37 Center Board,866,866 202-668,"$55,900        "
1142,1989,1989 Hunter 37 Legend,877,877 273-039,"$54,900        "
1143,1978,1978 Rafiki Cutter,949,949 430-201,"$54,000        "
1144,1985,1985 Beneteau Idylle 11.50,727,727 214-159,"$53,000        "
1145,1989,1989 Jeanneau Voyage 11.2,888,888 352-901,"$52,000        "
1146,1987,1987 Hunter 37 Legend,941,941 914-921,"$50,000        "
1147,1978,1978 Endeavour 37.5,888,888 488-755,"$49,995        "
1148,1979,1979 Tartan 37,888,888 457-229,"$49,900        "
1149,1987,1987 Hunter Legend 37.5,866,866 513-857,"$49,900        "
1150,1978,1978 Crealock Aft Cockpit Yawl,866,866 762-993,"$49,900        "
1151,1982,1982 Irwin 37 Center Cockpit Sloop,888,888 669-845,"$49,900        "
1152,1983,1983 Tayana 37 MKII,954,954 763-397,"$49,000        "
1153,1982,1982 Hunter 37 Cherubini,941,941 914-921,"$46,800        "
1154,1983,1983 Kirie Elite 37,877,877 502-133,"$44,900        "
1155,1982,1982 Irwin 37,866,866 220-931,"$44,900        "
1156,1980,1980 Barefoot Center Cockpit Sloop,866,866 656-139,"$44,900        "
1157,2002,2002 Custom 37,941,941 914-921,"$44,400        "
1158,1987,1987 Hunter Legend 37,866,866 762-993,"$43,900        "
1159,1980,1980 Endeavour 37,888,888 522-279,"$42,500        "
